ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
50201163,0.00,,13,13,1
50201172,0.00,,2,2,1
50202131,0.00,,473,473,1
50206332,0.00,,0,0,1
50208447,0.00,,0,0,1
50208450,0.00,,35,35,1
50500080,4.00,13-03-2020,157,157,1
90168142,0.00,,41,41,1
90304095,0.00,,193,193,1
95903854,0.00,,59,59,1
95903855,0.00,,25,25,1
95906069,0.00,,0,0,1
95906070,0.00,,0,0,1
95906072,0.00,,17,17,1
82044818,0.00,,77,77,1
82044828,0.00,,0,0,1
82044875,0.00,,2,2,1
82044955,0.00,,2,2,1
82044958,0.00,,0,0,1
82045007,0.00,,3,3,1
82045032,0.00,,0,0,1
82045040,0.00,,13,13,1
82045041,0.00,,26,26,1
82045043,0.00,,2,2,1
82045071,0.00,,3,3,1
82045086,16.00,29-08-2019,3,3,1
32702116,0.00,,129,129,1
82045781,0.00,,79,79,1
82045798,296.00,16-09-2019,0,0,1
82045923,0.00,,193,193,1
82045924,0.00,,190,190,1
82045945,389.00,06-08-2019,0,0,1
82045946,396.00,14-08-2019,0,0,1
82046050,200.00,16-08-2019,176,176,1
82046426,177.00,30-07-2019,0,0,1
82046427,164.00,30-07-2019,0,0,1
82040640,200.00,01-03-2020,108,108,1
82040942,183.00,21-10-2019,0,0,1
82042388,100.00,15-11-2019,140,140,1
82042818,0.00,,35,35,1
82042819,0.00,,56,56,1
82043456,4.00,13-03-2020,62,62,1
82043459,2.00,13-03-2020,153,153,1
82043460,2.00,13-03-2020,174,174,1
82043461,0.00,,138,138,1
82043462,0.00,,138,138,1
82043514,0.00,,66,66,1
19206777,0.00,,107,107,1
40114526,0.00,,81,81,1
40138135,4.00,13-03-2020,173,173,1
40600704,0.00,,0,0,1
45600217,0.00,,135,135,1
45600218,0.00,,338,338,1
45600219,2.00,13-03-2020,283,283,1
48800967,0.00,,60,60,1
48800968,0.00,,233,233,1
48800971,0.00,,63,63,1
48800972,2.00,13-03-2020,51,51,1
50255215,20.00,23-07-2019,-10,-10,1
40802187,0.00,,40,40,1
90907051,200.00,15-11-2019,189,189,1
82042827,0.00,,256,256,1
82043498,2.00,13-03-2020,0,0,1
31156947,0.00,,312,312,1
82041389,0.00,,241,241,1
82041392,0.00,,247,247,1
82041395,0.00,,142,142,1
82041688,0.00,,376,376,1
82041690,0.00,,411,411,1
97302214,2.00,13-03-2020,467,467,1
82040724,0.00,,156,156,1
82041527,0.00,,372,372,1
82041528,0.00,,376,376,1
82041535,0.00,,158,158,1
82041537,0.00,,185,185,1
59090071,0.00,,90,90,1
90602870,0.00,,8,8,1
90902964,0.00,,8,8,1
82044133,0.00,,104,104,1
82044698,4.00,13-03-2020,342,342,1
82044709,0.00,,190,190,1
82044722,2.00,13-03-2020,175,175,1
82045195,2.00,13-03-2020,252,252,1
82045196,2.00,13-03-2020,240,240,1
82045294,2.00,13-03-2020,234,234,1
82045295,0.00,,210,210,1
82045313,44.00,29-07-2019,0,0,1
82045389,120.00,23-09-2019,-8,-8,1
82045774,0.00,,42,42,1
82045775,0.00,,42,42,1
82046260,2.00,13-03-2020,177,177,1
82040481,4.00,13-03-2020,144,144,1
82042422,0.00,,157,157,1
82042473,0.00,,0,0,1
82042481,8.00,26-08-2019,0,0,1
82042815,0.00,,39,39,1
82043167,0.00,,96,96,1
82043169,0.00,,23,23,1
82044126,0.00,,83,83,1
82044127,0.00,,130,130,1
82044128,0.00,,229,229,1
82044134,0.00,,98,98,1
82044136,0.00,,218,218,1
82044137,4.00,13-03-2020,243,243,1
82044138,0.00,,180,180,1
82044139,177.00,28-09-2019,0,0,1
82044140,200.00,28-10-2019,176,176,1
68800940,0.00,,50,50,1
68803636,0.00,,163,163,1
68803637,0.00,,389,389,1
68803638,0.00,,183,183,1
68803639,0.00,,342,342,1
68803642,0.00,,469,469,1
68803643,0.00,,455,455,1
82040769,0.00,,78,78,1
82040770,0.00,,40,40,1
82040771,0.00,,0,0,1
82040772,0.00,,22,22,1
82040775,0.00,,153,153,1
82040781,0.00,,14,14,1
82040896,0.00,,0,0,1
82041360,0.00,,504,504,1
82041362,2.00,13-03-2020,118,118,1
82041361,0.00,,408,408,1
23600906,0.00,,228,228,1
46000019,2.00,13-03-2020,74,74,1
46000891,0.00,,171,171,1
48408688,0.00,,58,58,1
68800032,0.00,,178,178,1
68800937,0.00,,256,256,1
68800939,0.00,,127,127,1
68800943,0.00,,141,141,1
68800945,0.00,,55,55,1
68806438,0.00,,226,226,1
68802911,0.00,,290,290,1
